Gene,logFC,NegativeLogPValue
Cdon,0.36131033,0.04240326
Hm629797,0.6086974,0.04244196
Slc25a2,1.220257,0.042467985
Sh3d21,-0.4002264,0.04260726
Tesmin,-0.8543667,0.042714197
Cyp26b1,-0.32489902,0.0427404
Sgk1,-0.8065756,0.0427547
A930035D04Rik,0.7388334,0.042806365
Art4,0.32015517,0.042857867
Rasip1,-0.2873449,0.042878006
Ccdc138,0.60595906,0.042911917
Igf2,0.6275868,0.04297043
Bfsp1,0.58820367,0.04301014
Rab1a,0.30160177,0.043038428
Ptrhd1,0.4255549,0.043051776
Zfp420,-0.41641676,0.04314341
Cd33,0.43000966,0.043298483
Fez1,0.33150232,0.04331647
Cdt1,-0.5580577,0.043369632
Taf6l,0.3835362,0.04340716
Tdp1,0.27851474,0.043409884
Ephx2,-0.3739573,0.04341459
Gm16174,-0.97049415,0.043495424
Brip1os,0.3082619,0.04356274
4930438E09Rik,0.56419605,0.043562904
Timmdc1,0.33808866,0.043599382
Syt15,0.7400394,0.043613054
Tbxas1,0.4290194,0.043618985
A930018P22Rik,-0.95950776,0.043674484
Gm13062,-0.5433703,0.043730024
Ksr2,-0.5910148,0.0437327
Has2,0.48158967,0.04373416
Ccnk,-0.3000983,0.04384406
S100a7a,-0.5067112,0.043847006
Mroh2a,-0.38614944,0.04386334
Tcp11l2,-0.3783746,0.04388656
Casq2,0.46914378,0.044046342
Rab39b,0.47216368,0.044095166
Rps15a-ps5,0.64388156,0.044106666
Asic2,-0.9280112,0.04414656
Tasp1,-0.39355177,0.044155933
Rbl2,-0.33806446,0.044186343
Vezf1,-0.30287117,0.044203486
Zbtb39,-0.2741696,0.04422863
Prtg,0.51363647,0.0442329
Pilrb2,0.935708,0.044352062
Serhl,0.35647252,0.044357266
Tpm2,0.68644613,0.04438147
4930525G20Rik,0.74515265,0.044465374
Pcdhb22,0.47783118,0.044488747
Gm14586,0.68220985,0.044497307
Vcpkmt,-0.53327984,0.04450321
Emc3,0.2798466,0.04455285
Nop14,-0.29061848,0.044608053
Gm15860,0.6786478,0.04464179
Rufy3,-0.2862449,0.044759408
Rn7sk,-0.32576483,0.04483814
Rrnad1,-0.32600394,0.044851314
Wls,0.35036558,0.044941247
Rpl3-ps2,-0.48608553,0.04505004
Fbxl3,-0.3122432,0.04505818
Pank1,0.41006702,0.04507455
Tmem263,0.31432968,0.04509328
Rap1a,0.31078398,0.045099616
Gm16185,-0.34072304,0.045099832
Lyn,0.38653865,0.045169014
Fxyd1,-0.34051087,0.045173015
Mir338,-0.35560828,0.045228697
2310001H17Rik,0.87431663,0.045233864
Tfdp2,-0.3040854,0.045244902
Pwp2,-0.35466498,0.04524988
Gm12715,0.31001288,0.04532481
Scd2,0.32699612,0.04541212
Dner,-0.73906934,0.045451086
4930483K19Rik,0.79836726,0.045575947
Nucb1,0.30773893,0.045707256
Gpam,0.32851505,0.04571035
Oard1,-0.36290532,0.045816615
Gm21811,-0.44824815,0.0459803
Fkbp7,0.42808455,0.04598183
Tubb4b-ps1,0.46282223,0.04600238
Cmtm6,0.30519316,0.046015278
Kctd13,-0.2804318,0.046028882
Enpep,0.50624233,0.0460519
Erp29,0.3127311,0.04605318
Dffb,-0.4198001,0.04605648
Minpp1,0.2841632,0.04607851
Tspan31,0.28165716,0.046130467
Tmem229b,0.4638381,0.04616936
Myo5b,0.5124176,0.046175838
Akt2-ps,0.4888619,0.04620816
Akr1b10,0.46425292,0.046213195
Acyp1,0.493553,0.04622487
Tnfrsf25,-0.39815676,0.04624683
Itih4,-0.92421025,0.04627366
Spats2,0.4412224,0.046279926
Napepld,-0.2883496,0.046297617
Gyg,0.32716498,0.046315946
Tuba1a,0.34811246,0.04633461
Ptdss1,0.2888175,0.0463347
Ndufs5,0.33428186,0.046403345
Apoe,-0.32509062,0.046403643
Igfbp7,0.33088315,0.04641824
Ndrg4,0.34734648,0.04657142
Ddit4l,1.1067014,0.046645854
Ebf4,-0.29793817,0.046661295
Smim20,0.30681974,0.046708934
Gm15890,-0.68399024,0.046913575
Casp8ap2,-0.33366227,0.04698069
Ankrd27,0.27009144,0.04700206
Smad6,-0.35013068,0.047074646
Prss53,-0.9020966,0.047082167
Agl,0.42498907,0.047085118
Tmed8,0.2800923,0.047165025
Selenos,0.32235414,0.047183678
Dlgap1,0.42014715,0.047229193
Npas2,1.0558957,0.047297195
Retreg1,0.3199498,0.04733631
Sytl4,0.6989577,0.047374826
Ankrd24,0.3162246,0.04744168
Bahd1,-0.31022584,0.047491964
Slc5a3,0.3793924,0.04749882
Jdp2,-0.4123488,0.04755591
Mok,-0.5008847,0.047578987
Gm14328,0.76849025,0.047625124
Snx21,-0.30688027,0.04762923
Slc9a6,0.3024525,0.047663588
Kcnab2,0.3330033,0.047719646
Pyurf,0.5110701,0.047725923
Gzf1,-0.2826579,0.047735605
Zbtb7a,-0.32265764,0.0477682
Rnpep,0.29310584,0.047772095
Surf4,0.30835864,0.04777213
Evl,0.29829177,0.0477778
Tnfrsf21,0.36068973,0.047833662
Ttll9,-0.37667894,0.047921173
Vdac3,0.29601476,0.048010364
Slc7a8,-0.3766675,0.048075587
Tmem141,0.50911623,0.048124503
P2ry6,0.40217087,0.048177194
Gm16016,-0.60599214,0.04821625
Adpgk,0.33548996,0.04823955
Sox2,-0.28800702,0.04825081
Npepl1,0.35737374,0.048254944
Tmem47,-0.31401664,0.04836656
Traf1,0.44681108,0.04848447
Map2k7,-0.32059002,0.048535284
Gm15575,-1.1619412,0.048545733
AI480526,-0.30953825,0.04862611
Fcgbp,0.786653,0.048734155
Zfp952,0.4276534,0.04875011
Rasd2,0.98583144,0.0488127
Angptl7,-0.4420423,0.048856206
Lrrc32,-0.47239447,0.04885798
Ankrd13a,0.28835225,0.048865754
Htr1b,0.7374759,0.04888896
Kbtbd11,-0.2941506,0.048891332
Smoc1,-0.36125723,0.049050182
Slc25a12,0.31495112,0.04913288
Fkbp1a,0.3120273,0.049152505
2810402E24Rik,0.48544955,0.049174305
Cacna2d1,0.4191644,0.049266346
2700046G09Rik,0.619441,0.0492769
Ankdd1b,-0.48213395,0.049296282
Nudt14,0.45715564,0.049311608
2310034G01Rik,0.6033792,0.049409322
4833420G17Rik,-0.2741839,0.049448077
Mtmr10,-0.2973125,0.049579404
1110051M20Rik,-0.27596146,0.049602456
Naprt,-0.29928118,0.049702898
Cfap36,0.30328855,0.049724195
Got2-ps1,0.7032236,0.049871817
Elmsan1,-0.33042115,0.049872395
Max,-0.26903296,0.049910277
Tril,0.26876035,0.049930748
Fam43a,-0.37809104,0.050034173
Slc31a1,0.33433786,0.050045896
Ankrd28,-0.3103596,0.05005648
9130024F11Rik,0.7024507,0.050060913
Lrch2,0.67344457,0.050101433
Zfp90,0.46886754,0.050181415
Serpinf1,0.38478425,0.050184447
Paf1,-0.33873206,0.05026837
Ppp1r15a,-0.3247828,0.050279103
Tbr1,-0.5796972,0.050359152
1700060C20Rik,-0.62079436,0.05037632
Ccn3,0.37806422,0.050461404
Thap12,0.2754404,0.05055423
Polrmt,-0.2837949,0.050558127
Tbc1d16,0.3708282,0.050588652
A530013C23Rik,-0.92704594,0.050843325
Kcnj12,-0.30199018,0.05087136
Daam2,-0.3306465,0.050909117
Rims3,-0.49844226,0.05093384
Gm15204,-0.6533903,0.051030237
Pgk1,0.30145174,0.05109864
Axl,-0.3436662,0.051099535
Igsf9b,0.32744622,0.051115584
Cers4,0.3010763,0.05121121
Mtf2,-0.31058037,0.051244933
Emilin3,0.51945865,0.05125385
Srsf9,0.29729503,0.05128562
Gja1,0.32063824,0.051374916
Cldn10,0.8874809,0.051385775
Vdac1,0.2968972,0.05139861
H3f3a,0.30574813,0.051475346
Fgf3,-0.35512328,0.051517334
Rnaseh2a,-0.33713913,0.051583257
Calm2,-0.30074108,0.051736414
Gm13185,-0.9042031,0.05177992
Mpp3,0.57548004,0.051824052
Sox4,0.4654708,0.05185168
Pias4,-0.28348553,0.051927876
Cd84,-0.5870073,0.052001145
Cmya5,0.68771905,0.052031856
Tln2,0.3001399,0.0520662
Lmbr1l,-0.29579914,0.052114297
Gm10478,-0.703275,0.05215283
C4a,-0.3022924,0.052168537
Cux1,0.33786774,0.052460514
Zfp646,-0.29931355,0.052506592
Enpp3,0.67012924,0.052523058
Gm9234,0.66765124,0.052562725
Lmo2,0.35611254,0.052641816
Tubb2a,0.36972374,0.05265173
Nkd2,0.4790484,0.052705012
Gm13090,-0.7349517,0.052731663
Tiam2,0.300886,0.052873492
Cecr2,-0.32938555,0.05301223
Rpl36a,-0.2689439,0.0530531
Ptgfr,-0.42513365,0.053072274
Sez6l2,-0.42114013,0.053112097
Sptbn5,-0.3615543,0.053116698
1810032O08Rik,-0.5123591,0.05319682
Gm29164,-0.583686,0.053253356
Cers5,0.28643972,0.05327418
A4galt,-0.27422333,0.053371225
Ampd3,-0.27883565,0.053374987
Sec13,0.27181366,0.053392295
Gm14137,-0.40760243,0.053422775
Btbd19,0.39278477,0.053443775
Zfp428,0.45435473,0.053501956
Dnaic2,0.42372337,0.053523973
Safb2,-0.30640596,0.053573314
Gda,-0.68216956,0.053675022
Pms1,-0.38640314,0.053825434
Abtb1,-0.2774514,0.054007895
Gm10156,0.6081256,0.054204494
Tmem147,0.27881876,0.05420833
Slc35b1,0.27825326,0.05425713
Emc6,0.2987402,0.05425817
Cdc25b,-0.37224716,0.054274973
Kazald1,-0.48672456,0.054373484
Parp16,-0.37259352,0.054378204
H2-DMb2,0.4854383,0.054400414
Garnl3,0.35464483,0.054410167
Gclm,0.26518315,0.05441198
Pdcd10,0.32797012,0.054428503
Fat4,0.33019185,0.05456678
Flywch1,-0.26383024,0.0545758
2310022B05Rik,0.3305276,0.054725833
Prelid3b,0.3284797,0.054801658
Gdpd3,-0.30371058,0.05483883
Cadm2,-0.36329186,0.054902967
Dera,0.45457295,0.055021442
Lsr,-0.42337057,0.055056002
B3gnt8,-0.38667247,0.055186875
Gm15489,-0.58969384,0.055251565
Gemin6,-0.7254705,0.055279955
C230066G23Rik,-0.70258945,0.055283863
Psme1,0.31551495,0.05532808
Polr3h,-0.30251154,0.055380333
Epb41l3,0.3197644,0.055422653
Wnk4,-0.6993046,0.055452667
Zfp954,-0.47203523,0.05548941
Scgb3a1,-0.7290015,0.05557077
Tmem164,0.28377107,0.0555782
Arhgap27,-0.32672986,0.055586915
Daxx,-0.2736122,0.05559346
Sesn2,-0.5552284,0.055709165
Rnf11,0.2854074,0.055797655
Zdhhc14,0.31242597,0.0558159
Ms4a6c,-0.97124714,0.05582185
Rnf32,0.62862295,0.055846006
3632454L22Rik,0.5495866,0.055873863
Mpc2,0.3005227,0.055944733
Oxtr,1.0177134,0.05597739
Mir683-1,-0.73830426,0.056005705
Gm20655,-0.57132804,0.056042105
Plekhg2,0.31963417,0.05607624
Klhl38,-0.5185276,0.05607811
Armcx2,0.28462088,0.056088958
Hacd3,0.27584964,0.05612434
Zfyve19,0.34437698,0.056137502
Grk5,0.298482,0.056162868
Kif5a,-0.3348204,0.056246027
Zim1,0.55693096,0.056303527
Nt5c,0.32769626,0.056372456
2900089D17Rik,-0.38963875,0.056415867
Mrpl18,0.3978699,0.05652668
Yjefn3,0.29379895,0.056569394
Gm1966,0.5638659,0.056571685
Plcb4,-0.31212938,0.056598384
Lag3,-0.55336416,0.056645785
Pknox2,0.3519242,0.05666109
Rnf122,0.26240584,0.056670975
Lig4,0.40721104,0.056675028
Wipi1,0.30153307,0.05673462
Wdfy4,0.36848325,0.056775652
Tmem243,-0.42997405,0.056815945
Tmigd1,0.5547293,0.056862004
Nlrp1b,0.63801825,0.056877177
Tmem42,0.4545196,0.0570305
Tecr,0.29622078,0.057190355
Mex3d,-0.28519353,0.057261504
Mfsd1,0.2727669,0.057287566
Cd59a,0.29403588,0.05730538
Tmem86b,-0.41517726,0.057315603
Slc35f6,0.26335543,0.057331517
Xpnpep1,-0.3506709,0.057358067
Tlr4,-0.38095856,0.057379834
Gm24794,0.7386515,0.057412103
Pex5l,-0.3030372,0.057457577
Parvb,-0.4129725,0.057524443
Slc6a4,-0.619189,0.057557814
Gprasp1,-0.29163662,0.057559717
Bcl3,-0.48050675,0.05758218
Cxxc1,-0.25928295,0.057640877
Cyth1,-0.2702819,0.05765147
Smarcc2,-0.30506983,0.057658795
Eva1c,-0.2859328,0.05769176
Uqcrq,0.29820862,0.05771233
Zbtb44,-0.2920343,0.05780242
Apc-ps1,0.7702213,0.057835847
Sdhaf4,0.67160475,0.057848528
Cep170b,-0.32564968,0.05789284
Veph1,0.49348342,0.057982363
Elk3,0.36048302,0.05800896
Depdc7,0.43234754,0.058060765
Kcnn3,0.6419437,0.05807427
Plxnb1,-0.3094481,0.05811874
Glt8d1,0.26375836,0.058176514
Tc2n,-0.7062858,0.058269378
Wdr33,-0.2827035,0.058293357
Zfp239,-0.503519,0.058312595
Prkd2,-0.28300586,0.05831985
Hsd17b14,-0.36189193,0.05836948
Mospd3,0.30261585,0.058436517
Fat3,0.4751822,0.05854721
Pfkl,-0.26161575,0.058569424
Rala,0.26827198,0.058677938
Gm16350,-0.42670068,0.058742166
Nckap1l,0.38585937,0.05875104
Gm10814,0.53543675,0.058953352
Srms,0.8415358,0.059027907
Ntrk3,0.29016718,0.0590754
Ubb,0.29524347,0.05911944
Mmp21,-0.646972,0.059187856
Cdyl2,0.38594925,0.05922554
Csad,-0.2788187,0.059242025
4921528I07Rik,0.7014233,0.059272856
Cldn12,0.27803338,0.05927444
Pecam1,-0.29372278,0.05930276
Gm26035,-0.32807142,0.05931128
Fcho2,-0.29052272,0.059313443
Itfg1,0.29789987,0.059325885
4930511M06Rik,0.5770525,0.059407167
Slamf9,0.33887213,0.05948166
Rae1,-0.26747015,0.059486087
Sybu,-0.3120301,0.05957818
Cox4i2,-0.67878246,0.059636753
Zfp503,-0.3199683,0.05971896
Thg1l,0.5403478,0.059790973
Ncs1,0.2787875,0.059794877
Tmem121,0.39001927,0.059808318
Cpne2,0.2813534,0.05989923
Cda,-0.66372657,0.05993413
Aatk,-0.3234859,0.059941735
Qsox2,0.29131544,0.06000431
Ndufb11,0.26963308,0.06010378
Mob3b,0.37537333,0.060119733
Rhof,-0.4612566,0.06015929
Ly6e,0.36522734,0.06017993
Ifrd1,-0.3162335,0.060240272
Gm13562,-0.5914625,0.06025618
Trappc1,0.3749113,0.060327362
44441,0.285008,0.06051615
Tmem237,0.31164047,0.060565528
Fhl1,0.37396017,0.060581602
Atp1b1,-0.45682752,0.06058513
Tha1,-0.3344121,0.060676858
Idh3a,0.28765938,0.06080592
Bphl,0.32983536,0.06081345
Hmgb3,0.46296895,0.060851157
A930002H24Rik,0.7902056,0.060866043
Minar1,-0.6838866,0.060876638
Psmg3,-0.46486226,0.06087672
Pomt2,0.27111927,0.06092652
Epha1,-0.4696847,0.06095104
B130006D01Rik,0.49484164,0.06101359
Slc25a5,0.3023399,0.061024398
Dock3,-0.6054892,0.0610413
Id2,0.55326474,0.06105507
Btd,0.28129146,0.06115245
Anp32-ps,-0.93757766,0.061157737
Gpr182,-0.39054602,0.061191656
Ifrd2,-0.38749045,0.06123152
Fbxw17,0.27619717,0.061344255
Gm12786,-0.55772877,0.061361656
Ube2j1,-0.3126827,0.06137479
Plaur,-0.75894225,0.061381828
Mif4gd,0.3204008,0.06141426
Trim65,-0.34645915,0.061447248
Cetn4,-0.5516253,0.06147593
9330136K24Rik,-0.57646024,0.061518773
Mctp1,-0.34246397,0.061527386
Gm14021,0.7706019,0.06158197
Abca9,0.2949514,0.061613165
Chst14,0.30014375,0.061618418
Serf2,0.2761157,0.06165445
Gm6652,0.5063462,0.06168963
Cfap161,-0.75577444,0.061691824
Lzic,0.33322403,0.061727237
Ankmy2,0.28541517,0.061769586
Rexo1,-0.26631135,0.061820585
Gm15542,0.6193591,0.061823502
Igsf3,0.28612214,0.06190658
Clba1,0.48699057,0.061918434
Atxn7l3b,0.26757872,0.06192551
Gm5560,0.67265975,0.06193244
Aldh3b1,0.30513507,0.0619711
Ccdc85a,-0.3907637,0.06200775
Pias2,0.27374712,0.062025897
Rcsd1,0.284426,0.062033385
1110015O18Rik,0.7124871,0.06210907
Ostc,0.31148034,0.06211023
2810442N19Rik,-0.46368253,0.06214847
Maged1,0.29912582,0.062225085
Art3,-0.29585186,0.0622459
Mycn,0.7401221,0.06224647
Atf3,-0.42532787,0.062285274
Ddr2,0.33780393,0.06232582
Chrna7,0.7517368,0.062331866
Gm11410,0.4949208,0.06238279
Gm23119,-0.4365312,0.062441733
Cdk7,-0.57611686,0.06248135
Psmb7,0.26357967,0.06252237
Dclk2,-0.26972178,0.062614925
Rangap1,-0.2701413,0.06265755
Rbm4,-0.32631508,0.062660255
Pbx4,0.4944553,0.06269738
Zfp275,-0.3166524,0.062701516
Acaca,0.4034403,0.06270379
Nudt2,0.42882282,0.06273765
Fjx1,0.62261766,0.062795386
Mib2,-0.28980803,0.06286364
Ankrd23,0.7904519,0.062870644
Aph1c,-0.31065628,0.06288564
Fam78b,0.41706312,0.06289022
Ndrg3,-0.28413987,0.06291703
Mir5125,-0.33485264,0.06293957
Hoxa2,0.7025276,0.06301083
Cblb,-0.34523034,0.06320819
Dcdc2b,-0.36601114,0.06321928
Nudc,-0.26064757,0.06324597
Ptprcap,-0.5706352,0.06336139
Tshz3,0.24765697,0.06339622
Chsy3,0.44728065,0.06346214
Gria4,-0.3229239,0.06360139
Hnrnpa1l2-ps2,-0.68003625,0.063646734
Mag,0.30702302,0.06367681
Smug1,-0.29839182,0.06369023
1700056N10Rik,-0.49386573,0.06369581
Sem1,0.2925154,0.06369588
Med11,0.4142181,0.063742265
Ccr2,0.5302496,0.06381603
Fam198a,0.5792998,0.06385595
Spryd7,0.34155416,0.06388689
Vcpip1,-0.26145947,0.06388867
Simc1,-0.34357587,0.0638929
Rtn4,0.34540737,0.06391033
Dtx2,-0.27643958,0.06395572
Slc41a1,0.28876585,0.06406254
BC107364,0.54065543,0.064094454
Rfxank,-0.27895287,0.06415526
Ccdc97,-0.2626494,0.06421999
Ndufb5,0.31607634,0.06425088
Ptprn,-0.40280655,0.06425362
Gm22667,-0.5989323,0.06428027
Rab10os,-0.26096472,0.064321846
Uts2,-0.70081085,0.06434787
Gm11439,0.65452695,0.06441603
Adamts10,0.2909793,0.06443097
Adamts19,0.68042207,0.06443942
Gins2,0.5046821,0.06453345
Ghrl,-0.45183596,0.06453351
Vrk1,-0.31631166,0.0645347
Zfp212,-0.26979393,0.06454385
Gm10653,0.73413396,0.06467145
Gm2415,-0.4021402,0.06483184
Dmxl2,-0.28554305,0.06487623
Osbpl6,0.38352367,0.06489744
Rab1b,0.28156036,0.06490665
Wdr45,-0.28527,0.06497189
Rai2,-0.5567084,0.06500327
Ajap1,-0.59633285,0.06502087
Rpl31-ps16,-0.82332027,0.06508227
Atp6v1e1,0.2532756,0.06532203
Cox6c,0.27246845,0.065459885
Sowahb,-0.7207381,0.0655059
Rpl23,-0.25835928,0.06564108
Rpl23,-0.25835928,0.065642014
Rpl23,-0.25835928,0.06565541
Hdac7,-0.31565505,0.06584449
Gm17201,-0.5400347,0.065863
Gm27028,-0.6203863,0.06595983
Mrps28,0.39949545,0.06599967
Fbxo21,-0.26116768,0.06602002
Myh10,0.30360615,0.06603813
Rtl6,0.31206027,0.06612361
Dhrs13,0.7501247,0.06616293
Sema6b,-0.28999543,0.066168234
4933426K07Rik,-0.4330362,0.06620841
A630012P03Rik,0.65677285,0.06623044
Ifi203,0.40427893,0.06627481
Ifi203,0.40427932,0.06630561
Gjb1,0.2895404,0.06634666
Tcf19,0.6171573,0.066476114
Osgin1,-0.38171586,0.06655573
Apool,0.376422,0.06656204
Il1rapl1,-0.37804368,0.06657054
Cldn22,0.420946,0.06658131
Pold1,-0.2688453,0.06670666
Wrap73,-0.3183,0.0667091
Tnfrsf1b,-0.35131785,0.06674196
Golm1,0.36738387,0.06680889
Gm14165,-0.5005102,0.06681233
Fbxo30,-0.26201412,0.0668529
Ndfip1,0.28465128,0.066865906
Hist3h2ba,0.40239978,0.0668678
Nek8,0.26983684,0.06693164
Ikzf4,-0.52631074,0.06703501
Fam180a,-0.64859927,0.06714069
Klhl2,-0.30061498,0.06715561
Tcta,0.26942477,0.067205034
Gm6180,0.42465356,0.06733083
Lpcat1,0.25169644,0.06741416
Tmem18,0.25389934,0.0675584
Ripor2,0.25881872,0.06764943
Tpk1,0.3893222,0.06776707
Samd5,0.45661935,0.06784363
Ddx60,0.40068284,0.06785121
Mir23a,-0.8318182,0.06792397
Cpa3,-0.61805063,0.06793466
Tmem8b,-0.26111725,0.06803388
Tgfb3,-0.2693396,0.06806942
Trim56,-0.27220577,0.06811713
Lpar4,0.4873557,0.06812201
Nrp2,0.3112532,0.068139374
Tcf7l2,0.29439548,0.068178706
Cyp1b1,-0.37207904,0.06823635
Gsdmd,0.349217,0.0682443
Ube2v1,0.5535184,0.06825303
Mad2l1bp,-0.44594777,0.06825546
Gcnt1,0.46088758,0.06827714
Fmo5,-0.2841678,0.068358146
Frat1,-0.66513467,0.06836688
Ndufa5,0.26064542,0.06845036
Ltv1,0.36664677,0.06858232
Mrpl57,0.41621017,0.06861184
Cdk5rap3,0.2821647,0.06867652
Zbtb10,0.32834315,0.068696536
Adcyap1r1,0.3395928,0.068761826
8030462N17Rik,-0.25590143,0.06876259
Aoc2,-0.4631409,0.06882503
Ethe1,-0.41797817,0.068825714
Bfar,-0.30713594,0.06885838
Upb1,0.64445406,0.068872444
Crtap,0.2676495,0.06888222
Srm,0.2930208,0.06889335
Slc37a2,0.3883834,0.068957105
Rpn1,0.28913602,0.06913543
Sema5a,0.30117595,0.069139235
Fam57a,0.41502705,0.069165446
Adgre1,0.47448072,0.06920155
Tmem9,0.29433408,0.06926284
Gm26943,-0.75863284,0.069298565
Zswim1,-0.3460751,0.06935702
Ranbp1,0.26286933,0.06944184
Zfp946,-0.49667084,0.06944477
Zfp521,0.28337812,0.069527045
Prrg2,0.3798082,0.06953207
Psd4,0.4627207,0.069607385
Gm12350,-0.6557432,0.06963815
Ctps,0.28738478,0.06964154
Gm2976,-0.80600804,0.06973785
Kcnf1,-0.6087539,0.06975552
Slc25a39,0.25241825,0.06977482
Wwc1,0.42458174,0.06978323
Cacna1h,0.34225118,0.06995528
Nos1ap,0.38431287,0.070033304
Ugt1a5,-0.5674151,0.07003847
Glrx5,0.33738574,0.07009385
Hsf1,-0.26346222,0.07009706
1700029I15Rik,-0.44240198,0.07012985
Mras,0.2879987,0.07016442
Nadsyn1,-0.33246055,0.07020802
Tmem240,-0.3937228,0.07026199
Gm15747,-0.7642854,0.070287436
Mat2a,-0.38940048,0.07035251
Rasal2,0.31627345,0.070362
Unc13b,0.2672817,0.0703718
Pxn,-0.30856422,0.07037723
Il17b,-0.52282184,0.07042261
Tbc1d23,0.30112755,0.070502624
Txn1,0.26500604,0.07057118
Gskip,0.29052544,0.070621416
Orai1,0.35666764,0.07075358
Eps8l2,-0.2809535,0.07077261
P4hb,0.28335965,0.07082617
A230072E10Rik,-0.7155133,0.07087117
Slc35b2,0.2807143,0.07094402
Pon2,0.25043547,0.07098779
Evc2,-0.40164912,0.07109727
Ly6c1,-0.44200486,0.07110003
Hoxa6,-0.4526275,0.07112925
Lgalsl,-0.32397163,0.07121769
Acaa2,-0.3565074,0.07131272
Rpl38,-0.25041395,0.071323976
Bach2os,-0.75986147,0.071372256
Sec61g,0.3311175,0.07138453
Zfp703,-0.29245523,0.07143675
Grm7,-0.5991143,0.071546204
Ier5l,-0.32161853,0.07158008
Adam19,0.45216262,0.071606316
B4galt3,-0.27122748,0.07160932
C130036L24Rik,-0.44310835,0.071640275
Acvr2a,0.26430994,0.07165014
Lrrc51,-0.3403433,0.071737684
Lrrc47,-0.26357394,0.071922176
Zfp280b,0.31129438,0.071949795
Gm13070,-0.70053154,0.07205879
Adamts6,0.31837004,0.07215823
Gm13574,0.783569,0.07217231
Iqck,-0.32633406,0.07219255
Tyrobp,-0.48240688,0.07223469
Nr1d2,-0.38332972,0.07226714
4933406P04Rik,0.86950874,0.07234079
Nt5c1a,0.748242,0.07237511
Ube3c,0.29307988,0.07239821
Nphp3,0.32513028,0.07241412
Pgd,0.28049803,0.07243137
B4galt2,0.268445,0.07246105
H2afz,0.27400222,0.07246388
Hyls1,0.39811578,0.072491474
Cep70,-0.32188314,0.07249699
Spn,-0.6989748,0.07252366
Itga5,-0.36551768,0.07260765
Wipf3,-0.28884247,0.07261545
Plekha2,-0.47121936,0.072622225
Galr2,-0.69688296,0.07263765
Copg2,0.24857144,0.0726417
Polr2d,0.40473285,0.07268155
Gm22637,-0.6972202,0.07268531
Fam205a1,-0.70004994,0.07270624
Tk1,-0.37707064,0.07272735
Nr2f6,0.26558045,0.072735816
Pcmtd2,-0.24873443,0.07285473
Ch25h,-0.5575471,0.07290439
Evi2a,0.4167002,0.073113926
Desi1,0.24919371,0.07312983
Mrpl20,0.30676216,0.07317798
C2cd2l,-0.2851688,0.07318994
Zbtb11,-0.2692722,0.07323047
N4bp1,-0.25848714,0.0732976
Zfp142,-0.25485983,0.07338254
Gm7665,0.5600602,0.07338886
Mthfsl,-0.3499253,0.073400214
Klhl33,0.9224759,0.07341848
Nucb2,0.3677807,0.07352338
0610040J01Rik,0.56822985,0.073543005
Pcnt,-0.29224926,0.073571004
Hnrnpd,-0.2579987,0.07361517
Gm15376,-0.68683964,0.07364166
Ap5b1,0.30307004,0.07367669
Pisd-ps2,0.4668418,0.07369447
Atm,-0.24931546,0.07374635
Ide,0.24568678,0.07383753
Eno2,-0.2553305,0.073909186
Carns1,0.3454082,0.07395221
Rtn4ip1,0.30871677,0.07412881
Syde2,-0.28568688,0.07422438
Cct3,0.25155914,0.07424573
Fam171a1,0.26745993,0.07436296
Cluap1,-0.34348005,0.07437884
Pdia6,0.2560239,0.07440655
Gm7536,-0.43789464,0.07445315
Me1,-0.30579436,0.07446926
Atp5c1,0.24988121,0.07448836
Clic4,-0.30001122,0.07450518
Ube2cbp,-0.6036544,0.07452853
Gm10110,0.8243334,0.07456189
Gata2,-0.36530483,0.074896425
Spast,0.24598114,0.07499794
Gm15772,0.52009773,0.075007826
Zfp775,-0.28305143,0.07508724
Tedc2,-0.44376937,0.07516565
Arid1b,-0.28199616,0.07532322
Flicr,-0.4716802,0.075327136
Prelid1,0.24104084,0.07533432
Ccdc151,-0.67508125,0.07535351
Fbxw9,0.35530922,0.075377
Gm28809,-0.33986303,0.075544015
Ndrg2,-0.3045269,0.075552754
Dnal1,0.25828725,0.07568117
Psma4,0.2564293,0.07573098
Ppp1ca,0.2582586,0.07573632
Cldnd2,-0.5109975,0.075759806
Arpc3,0.24453706,0.07580919
Ttc8,0.33669457,0.075836815
Ddah2,0.28559375,0.07584142
Hdgfl2,-0.37893388,0.07591282
Camkk1,-0.6006693,0.07591412
Fzd5,-0.31711215,0.07591991
Gpr68,-0.47441015,0.0759275
Meis1,-0.37831628,0.07595572
Snap29,0.31108224,0.07597825
Tspan32,-0.3151375,0.07601471
Zan,0.5975625,0.07614058
Prr7,0.24568096,0.076172024
Pcdhb14,0.40041736,0.07619942
Eif4g3,0.28622466,0.0762185
Mypopos,-0.59871244,0.07629005
Hist2h4,-0.24728216,0.07629782
Nnmt,0.69681257,0.076368295
Prdx2,0.24697202,0.07647759
Mthfr,0.33673304,0.076541044
Rbm15,-0.25141183,0.07656383
Capn10,-0.2630518,0.076651394
Cfap70,0.5475941,0.07671726
Nectin3,0.25629753,0.07677085
Nr2c1,0.2629125,0.07691525
Adgra3,0.2564788,0.076966144
Gm9392,0.4881812,0.07702013
Gm15779,-0.6978164,0.07703915
Dph7,-0.3436514,0.077041365
Emp1,0.32093322,0.07704259
Gfra3,0.6111711,0.07704452
