Gene,logFC,NegativeLogPValue
B4galnt1,-1.817118,3.3785188E-06
Tfap4,-0.83501303,3.9900715E-06
Ryr1,6.8310623,4.171396E-06
Tmtc1,-1.3597558,4.3117025E-06
Xkr7,1.2717298,4.866219E-06
Sema3g,-0.9200144,4.8682546E-06
Dusp18,0.85923433,5.1504358E-06
Anxa1,-0.73483086,5.313556E-06
Galnt15,-0.80393374,5.4197085E-06
Utp14b,0.80989546,5.4598527E-06
Nrk,1.471515,5.6452695E-06
Bzw2,0.7583737,5.9435465E-06
Klhl3,-0.68608266,6.5970535E-06
Egr1,-2.7269022,6.81628E-06
Cyp7b1,0.73708004,6.845085E-06
Kcnd1,1.0045533,7.4856525E-06
C430049B03Rik,1.3128139,7.654414E-06
Fst,1.509273,7.835876E-06
Slco4c1,1.4073204,7.937864E-06
Mest,0.8453309,8.453708E-06
Ier2,-1.5870684,8.613835E-06
Ppic,0.9586491,8.843783E-06
Pcsk5,0.75649387,8.927701E-06
Chpt1,-0.6751431,9.580371E-06
Gm23973,-0.723856,9.704999E-06
Col24a1,-0.7909957,9.736622E-06
Osmr,-0.6796731,9.751189E-06
Ctxn1,0.9292335,9.82483E-06
Hacd1,1.3779756,9.859214E-06
Col28a1,0.7313269,9.859907E-06
Tmem97,0.7900814,1.0037043E-05
Pnpla7,-0.91913354,1.036029E-05
Esr2,1.798395,1.0991684E-05
Dpy19l3,0.67997026,1.1221431E-05
Ctnnbip1,0.7013607,1.1362344E-05
D630045J12Rik,0.86226314,1.1514044E-05
Cyp2j13,0.9647422,1.191671E-05
Socs3,-1.0205184,1.2374283E-05
Adcy2,0.7800414,1.2392529E-05
Tnnt3,5.4694743,1.2736169E-05
Cnih3,0.84624195,1.2851018E-05
Eln,1.0414479,1.3998833E-05
Mecomos,-1.6360767,1.4225206E-05
Fosl2,-1.3549235,1.4332977E-05
Map3k6,-2.0718317,1.4377868E-05
Mchr1,-1.295482,1.4879431E-05
Spon2,0.7616754,1.4915911E-05
Arxes1,1.3063104,1.4944171E-05
Mertk,-1.2716216,1.7394497E-05
Gm14011,-1.419409,1.7433114E-05
Pim1,-1.0064583,1.7553079E-05
Bri3bp,0.6307175,1.7806944E-05
Angptl4,-1.9859561,1.7879025E-05
Calcoco2,1.7544707,1.8020142E-05
Npnt,1.3780645,1.805441E-05
Actn3,5.016457,1.8419958E-05
Pank3,0.7058927,1.894253E-05
Usp2,-1.1201905,1.959926E-05
Kdelr3,0.6533357,2.0650574E-05
Serpinb6b,0.71913546,2.0823305E-05
Sik1,-1.7018471,2.0942962E-05
Slc10a6,-1.758353,2.1466121E-05
Ttn,6.5695767,2.1997517E-05
Aldh1a3,0.79623646,2.2022763E-05
Pcsk1n,-0.6336884,2.2089018E-05
Creb3l1,0.6422442,2.2231556E-05
Ndn,0.6986768,2.356771E-05
Neb,5.0475135,2.3807579E-05
Cilp,1.5868644,2.4182E-05
Gm26315,-0.7479835,2.4212966E-05
Misp,-1.5127604,2.4571644E-05
Spen,-0.8065672,2.4666791E-05
Col6a1,0.76984096,2.622129E-05
Fbxo2,-0.8845873,2.6635225E-05
Zfp180,-0.5797206,2.759166E-05
Lgals4,-0.73112404,2.8211165E-05
Grik3,-0.5691889,2.8452063E-05
Rtn4rl2,-0.69678,2.8747128E-05
Mettl27,0.8556837,2.976062E-05
Scg5,0.975828,3.0115318E-05
Mafk,-0.76934886,3.016942E-05
Slc25a48,-3.8162546,3.130128E-05
Kcnab1,-0.5986677,3.2474225E-05
Fndc5,1.0957024,3.2677624E-05
Tns2,-0.8833689,3.342051E-05
Cdh11,0.76614094,3.526941E-05
Phf24,-1.5099642,3.6208006E-05
Doc2b,-1.3383776,3.646589E-05
Atp10b,0.9638839,3.7196467E-05
Adgrl1,0.6651784,3.728869E-05
Col15a1,0.71651846,3.9274342E-05
4930483J18Rik,-2.282615,3.9412196E-05
Myo18b,4.740366,4.0273415E-05
Slc43a1,-1.2111397,4.0751027E-05
Tekt5,1.202353,4.0939754E-05
Btg2,-1.8371166,4.2172658E-05
Pja1,-1.3155311,4.217558E-05
Snx7,0.6045359,4.6873458E-05
Cyp4f14,0.75374085,4.8486352E-05
Acss2,0.6602679,4.8649432E-05
Bhlhe41,-0.86666703,4.902029E-05
Igsf21,-1.4425762,4.9856233E-05
Tmem38a,0.8364722,5.016779E-05
Hmgcs2,-1.0823692,5.0272887E-05
Gm23624,-0.7769361,5.1428466E-05
Nrep,0.71512586,5.1949075E-05
Dusp1,-1.6178268,5.4212047E-05
Obsl1,0.6221116,5.447124E-05
Cacna1s,1.683077,5.5074743E-05
Atp2a1,6.307234,5.5579832E-05
Anks1b,-0.8250515,5.6560057E-05
Tlcd1,0.76166505,5.8733804E-05
Slc7a5,-0.8000684,6.365277E-05
Zfp36,-1.4435786,6.4139706E-05
H1f0,0.6669664,6.478291E-05
Col6a2,0.75661075,6.5902066E-05
Cthrc1,1.8181387,6.679439E-05
F3,-0.9048934,6.797523E-05
Scube2,1.1076281,6.9153895E-05
Aldh18a1,0.6846609,7.15486E-05
Sbk1,0.54940575,7.291733E-05
H2afy2,0.73486406,7.351293E-05
Tmem189,0.62995344,7.3960524E-05
Cdh3,0.6953353,7.48607E-05
Sema5b,0.86452234,7.522934E-05
Mapk8ip2,-0.76544213,7.667438E-05
Col5a1,0.6640882,7.7012395E-05
Klf2,-1.2696552,7.710509E-05
Usp13,1.1016783,7.716378E-05
Tfg,0.5548178,7.858096E-05
Fcgr3,0.6366803,7.910839E-05
Camk2n1,-0.64783347,8.056435E-05
Gm28875,-0.6438685,8.2279475E-05
Teddm1a,-1.3170145,8.724722E-05
Aco1,0.53539395,8.807491E-05
Rtl1,0.904719,8.8284105E-05
Homer2,0.8848741,8.887686E-05
Entpd7,0.56798863,8.927814E-05
Hr,-1.013065,8.934225E-05
Acer2,-1.0215772,9.1053684E-05
Aldoc,1.2774129,9.612309E-05
L3mbtl4,-1.1406422,9.672396E-05
Col5a2,0.6683198,9.7082004E-05
Fbxo32,-0.72243243,0.00010011484
Ttll3,-0.9767324,0.00010040055
Depp1,-1.0163845,0.000101343125
Cplx3,1.0687401,0.000104715524
Gm6939,-0.9155021,0.000105909145
Slc8b1,-0.6356549,0.00010704684
Ttyh3,0.5399347,0.00011020499
Hrk,-1.2306584,0.000111477246
Col7a1,0.67186826,0.000112577734
Trim66,-0.9198077,0.00011266395
Hmox1,0.5957366,0.000112807655
Hspa2,-0.5914279,0.00011420191
Pgm1,0.9945521,0.00011491928
